Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	V2	V6	V7	link	new_col_name	value_to_detect	date_col
41271	Diagnoses - ICD9	20	388	59	423	NA				
130836	Date F00 first reported (dementia in alzheimers disease)			p130836_Date_F00_first_reported_dementia_in_alzheimers_disease		NA				
130838	Date F01 first reported (vascular dementia)			p130838_Date_F01_first_reported_vascular_dementia		NA				
130840	Date F02 first reported (dementia in other diseases classified elsewhere)			p130840_Date_F02_first_reported_dementia_in_other_diseases_classified_elsewhere		NA				
130842	Date F03 first reported (unspecified dementia)			p130842_Date_F03_first_reported_unspecified_dementia		NA				
130844	Date F04 first reported (organic amnesic syndrome	not induced by alcohol and other psychoactive substances)			p130844_Date_F04_first_reported_organic_amnesic_syndrome._not_induced_by_alcohol_and_other_psychoactive_substances	NA				
130846	Date F05 first reported (delirium	not induced by alcohol and other psychoactive substances)			p130846_Date_F05_first_reported_delirium._not_induced_by_alcohol_and_other_psychoactive_substances	NA				
130848	Date F06 first reported (other mental disorders due to brain damage and dysfunction and to physical disease)			p130848_Date_F06_first_reported_other_mental_disorders_due_to_brain_damage_and_dysfunction_and_to_physical_disease		NA				
130850	Date F07 first reported (personality and behavioural disorders due to brain disease	damage and dysfunction)		p130850_Date_F07_first_reported_personality_and_behavioural_disorders_due_to_brain_disease._damage_and_dysfunction		NA				
130852	Date F09 first reported (unspecified organic or symptomatic mental disorder)			p130852_Date_F09_first_reported_unspecified_organic_or_symptomatic_mental_disorder		NA				
130854	Date F10 first reported (mental and behavioural disorders due to use of alcohol)			p130854_Date_F10_first_reported_mental_and_behavioural_disorders_due_to_use_of_alcohol		NA				
130874	Date F20 first reported (schizophrenia)			p130874_Date_F20_first_reported_schizophrenia		NA				
130876	Date F21 first reported (schizotypal disorder)			p130876_Date_F21_first_reported_schizotypal_disorder		NA				
130878	Date F22 first reported (persistent delusional disorders)			p130878_Date_F22_first_reported_persistent_delusional_disorders		NA				
130880	Date F23 first reported (acute and transient psychotic disorders)			p130880_Date_F23_first_reported_acute_and_transient_psychotic_disorders		NA				
130882	Date F24 first reported (induced delusional disorder)			p130882_Date_F24_first_reported_induced_delusional_disorder		NA				
130884	Date F25 first reported (schizoaffective disorders)			p130884_Date_F25_first_reported_schizoaffective_disorders		NA				
130886	Date F28 first reported (other nonorganic psychotic disorders)			p130886_Date_F28_first_reported_other_nonorganic_psychotic_disorders		NA				
130888	Date F29 first reported (unspecified nonorganic psychosis)			p130888_Date_F29_first_reported_unspecified_nonorganic_psychosis		NA				
130890	Date F30 first reported (manic episode)			p130890_Date_F30_first_reported_manic_episode		NA				
